,player,team,pos,g,mp,per,ts_percent,e_fg_percent,x3p_ar,f_tr,orb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,o_rtg,d_rtg,ows,dws,ws,ws_40,year
598,Sydney Colson,LVA,G,18,123,5.4,0.409,0.359,0.344,0.156,2.8,3.6,20.2,0.8,0,17,14.9,92,111,-0.1,0,0,-0.013,2022
599,Sydney Colson,LVA,G,28,135,13.1,0.59,0.556,0.593,0.222,3.6,5.1,21.7,3.3,0.6,16.8,11.9,122,100,0.4,0.3,0.6,0.181,2023
600,Sydney Colson,LVA,G,31,248,12.4,0.559,0.531,0.578,0.141,0.5,3.3,18.3,3,1.7,17.1,15.2,103,101,0.2,0.4,0.6,0.1,2024
601,Sydney Colson,IND,G,22,311,6.7,0.474,0.446,0.607,0.125,2,3.5,20,1.6,1.5,28,11.9,92,107,-0.1,0.3,0.2,0.019,2025
602,Sylvia Fowles*,MIN,C,30,831,23.8,0.638,0.622,0,0.328,10.7,20.6,8.2,1.9,3.9,15.9,21.6,113,100,2.2,1.5,3.7,0.179,2022
603,Taylor Mikesell,ATL,G,6,29,21.7,0.723,0.65,0.7,0.4,0,3.9,12.4,0,0,7.8,19.3,136,110,0.2,0,0.2,0.226,2023
604,Taylor Soule,CHI,F,15,53,-2.9,0.257,0.143,0.214,0.571,6.5,8.9,7.8,0,1.5,18.6,18.1,61,111,-0.3,0,-0.2,-0.181,2023
605,Taylor Soule,MIN,F,2,3,-14.3,,,,,0,19.4,0,0,0,100,15.4,0,95,0,0,0,-0.392,2024
606,Taylor Thierry,ATL,G-F,11,22,5.4,0.254,0.214,0.286,0.286,5.3,7.8,6.7,4.7,0,0,16.2,73,97,-0.1,0.1,0,-0.011,2025
607,Te-Hina PaoPao,ATL,G,21,262,16.3,0.652,0.654,0.617,0.136,2.7,6.3,23.4,1,0.6,16.5,17.7,117,105,0.7,0.3,1,0.156,2025
608,Teaira McCowan,DAL,C,33,623,24.2,0.619,0.602,0,0.606,18.3,22.5,7.8,0.9,3.2,16.1,25,114,105,2.2,0.7,2.9,0.187,2022
609,Teaira McCowan,DAL,C,30,783,20.7,0.567,0.551,0.015,0.364,14.9,19.7,9.3,1,3.9,12.7,19.5,115,104,2.2,1,3.2,0.166,2023
610,Teaira McCowan,DAL,C,39,983,20.6,0.607,0.571,0.012,0.384,13.2,19,10.4,1.7,3,16.9,19.8,113,111,2.7,0.1,2.9,0.116,2024
611,Teaira McCowan,DAL,C,14,186,19.1,0.592,0.555,0.036,0.345,13.6,18.7,7.5,1.1,5.5,17,17.6,111,107,0.4,0.1,0.5,0.115,2025
612,Temi Fagbenle,IND,C,22,415,12.6,0.554,0.518,0.105,0.246,8.9,14.7,7.5,1.3,3.2,17.6,16.4,104,108,0.4,0.2,0.7,0.067,2024
613,Temi Fagbenle,GSV,C,17,412,15.4,0.581,0.569,0.257,0.22,10.4,12.4,13.8,2.4,2.8,18.4,16,109,100,0.6,0.8,1.5,0.141,2025
614,Theresa Plaisance,LVA,F,31,401,9.6,0.515,0.504,0.767,0.086,4.6,11.2,5.4,1,2.9,14.2,15.6,95,105,0,0.4,0.4,0.042,2022
615,Tianna Hawkins,WAS,F,25,320,8.6,0.495,0.447,0.465,0.184,5.5,11,10.6,1.5,0.6,19.6,22.1,89,100,-0.4,0.6,0.2,0.028,2022
616,Tianna Hawkins,WAS,F,40,923,14.5,0.57,0.545,0.328,0.196,7.5,12.7,10.5,1.8,1.4,14,16.6,107,102,1.3,1.4,2.8,0.119,2023
617,Tiffany Hayes,ATL,G,11,303,19.1,0.64,0.62,0.347,0.339,1.1,7.7,15.3,1.3,0.3,13.7,23.5,113,105,0.9,0.3,1.2,0.157,2022
618,Tiffany Hayes,CON,G,40,1082,16,0.59,0.544,0.371,0.357,4.2,6.6,16.4,1.6,0.3,12.1,19.5,114,105,2.9,1.3,4.2,0.154,2023
619,Tiffany Hayes,LVA,G,33,708,17.9,0.609,0.575,0.373,0.382,4.5,7.5,15.9,1.8,1.1,9.8,18.6,119,104,2.3,0.9,3.2,0.182,2024
620,Tiffany Hayes,GSV,G,15,395,15.8,0.59,0.541,0.434,0.276,2,7.9,19.8,0.9,0.8,15.6,21.9,108,104,0.8,0.5,1.3,0.128,2025
621,Tiffany Mitchell,IND,G,34,553,13.4,0.539,0.484,0.17,0.286,4,4.3,13,2.5,0.3,12.8,18.4,105,112,0.7,0,0.7,0.052,2022
622,Tiffany Mitchell,MIN,G,33,763,6.7,0.496,0.434,0.211,0.31,2.8,5.8,16.2,1.1,0.3,22.4,18.5,89,111,-0.7,0.1,-0.6,-0.032,2023
