"player","team.x","pos.x","g.x","mp.x","per","ts_percent","e_fg_percent","x3p_ar","f_tr","orb_percent","trb_percent","ast_percent","stl_percent","blk_percent","tov_percent","usg_percent","o_rtg","d_rtg","ows","dws","ws","ws_40","year.x","Team","Year","Salary","Protection Status","salary_clean","team.y","pos.y","g.y","mp.y","fg","fga","fg_percent","x3p","x3pa","x3p_percent","x2p","x2pa","x2p_percent","ft","fta","ft_percent","orb","trb","ast","stl","blk","tov","pts","year.y","predicted_salary","residual","undervalued","overvalued","top_paid","label_type","label_player"
"jacy sheldon","CON","G","22","542",12.3,".615",".595",".508",".121","3.5","4.2","15.6","1.9","0.7","16.3","14.1","111","118","0.9","-0.5","0.4",".029",2025,"Connecticut Suns",2025,"$74,909 ","Unprotected",74909,"CON","G","22","542","3.0","6.0",".492","1.2","3.0",".403","1.7","3.0",".585","0.6","0.7",".875","0.8","1.8","2.0","0.9","0.2","1.2","7.8",2025,107587.871970503,-32678.871970503,TRUE,FALSE,FALSE,"Undervalued","Jacy Sheldon"
"jade melbourne","WAS","G","21","484",6.3,".467",".455",".463",".281","2.2","5.2","19.5","1.3","0.4","20.9","15.9","88","106","-0.5","0.5","0.0",".000",2025,"Washington Mystics",2025,"$66,710 ","Unprotected",66710,"WAS","G","21","484","2.2","5.8",".380","0.9","2.7",".321","1.3","3.1",".431","0.8","1.6",".500","0.4","2.0","2.7","0.6","0.1","1.7","6.0",2025,83016.4997764281,-16306.4997764281,TRUE,FALSE,FALSE,"Undervalued","Jade Melbourne"
"jaelyn brown","CON","G-F","10","131",6.5,".488",".486",".486",".054","3.4","5.4","1.4","2.0","1.5","11.7","15.0","89","117","-0.1","-0.1","-0.2","-0.053",2025,"Connecticut Suns",2025,"$56,639 ","Unprotected",56639,"CON","G-F","10","131","1.4","3.7",".378","0.8","1.8",".444","0.6","1.9",".316","0.1","0.2",".500","0.4","1.2","0.1","0.5","0.2","0.5","3.7",2025,83835.5455162306,-27196.5455162306,TRUE,FALSE,FALSE,"Undervalued","Jaelyn Brown"
"janelle salaun","GSV","F","14","319",10.3,".467",".430",".441",".162","5.3","12.1","9.1","1.0","0.3","12.1","23.3","92","103","-0.2","0.5","0.3",".032",2025,"Golden State Valkyries",2025,"$66,079 ","Temporary Suspension",66079,"GSV","F","14","319","3.5","9.7",".360","1.4","4.3",".317","2.1","5.4",".395","1.4","1.6",".864","1.1","4.9","1.1","0.4","0.1","1.4","9.7",2025,99397.414572478,-33318.414572478,TRUE,FALSE,FALSE,"Undervalued","Janelle Salaun"
"jaylyn sherrod","NYL","G","16","102",5.7,".459",".375",".550",".450","2.3","6.1","14.1","4.9","0.0","31.5","15.5","79","97","-0.2","0.2","0.0",".010",2025,"New York Liberty",2025,"$66,079 ","Unprotected",66079,"NYL","G","16","102","0.4","1.3",".300","0.2","0.7",".273","0.2","0.6",".333","0.4","0.6",".778","0.1","0.7","0.6","0.6","0.0","0.7","1.4",2025,80559.3625570206,-14480.3625570206,TRUE,FALSE,FALSE,"Undervalued","Jaylyn Sherrod"
"jessica shepard","MIN","F","20","377",19.1,".599",".587",".011",".511","14.9","20.1","19.2","1.2","0.5","21.6","17.5","114","97","1.0","0.9","1.9",".199",2025,"Minnesota Lynx",2025,"$78,831 ","Unprotected",78831,"MIN","F","20","377","2.7","4.6",".587","0.0","0.1",".000","2.7","4.6",".593","1.4","2.4",".574","2.4","6.5","2.3","0.5","0.1","1.6","6.8",2025,135435.427123788,-56604.4271237878,TRUE,FALSE,FALSE,"Undervalued","Jessica Shepard"
"jewell loyd","LVA","G","22","660",12.9,".522",".484",".548",".194","5.6","8.4","12.6","1.4","0.4","11.3","18.2","105","109","0.8","0.4","1.2",".074",2025,"Las Vegas Aces",2025,"$249,032 ","Protected Veteran",249032,"LVA","G","22","660","3.8","9.9",".382","2.0","5.4",".370","1.8","4.5",".398","1.6","1.9",".857","1.5","4.3","2.1","0.8","0.1","1.4","11.2",2025,110045.00918991,138986.99081009,FALSE,TRUE,TRUE,"Top Paid","Jewell Loyd"
"jonquel jones","NYL","C","9","206",23.8,".588",".563",".400",".363","9.9","23.6","17.9","1.2","4.5","13.9","23.7","112","93","0.6","0.6","1.2",".229",2025,"New York Liberty",2025,"$195,000 ","Protected Veteran",195000,"NYL","C","9","206","4.2","8.9",".475","1.6","3.6",".438","2.7","5.3",".500","2.1","3.2",".655","1.9","9.6","2.3","0.6","1.1","1.7","12.1",2025,154683.002009146,40316.9979908535,FALSE,FALSE,FALSE,NA,NA
"jordin canada","ATL","G","15","405",16.4,".481",".426",".326",".340","1.1","7.6","33.3","3.1","0.8","14.3","21.1","104","99","0.5","0.8","1.3",".132",2025,"Atlanta Dream",2025,"$190,000 ","Protected Veteran",190000,"ATL","G","15","405","3.6","9.4",".383","0.8","3.1",".261","2.8","6.3",".442","2.4","3.2",".750","0.3","3.6","5.3","1.6","0.3","1.8","10.4",2025,124378.309636454,65621.6903635459,FALSE,FALSE,FALSE,NA,NA
"joyner holmes","LVA","F","6","29",0,".292",".292",".417",".000","8.0","12.1","0.0","0.0","0.0","14.3","21.8","60","111","-0.2","0.0","-0.2","-0.213",2025,"Las Vegas Aces",2025,"$61,607 ","Unprotected",61607,"LVA","F","6","29","0.5","2.0",".250","0.2","0.8",".200","0.3","1.2",".286","0.0","0.0","","0.3","1.0","0.0","0.0","0.0","0.3","1.2",2025,40426.1213066983,21180.8786933017,FALSE,FALSE,FALSE,NA,NA
"julie allemand","LAS","G","13","297",10.2,".557",".523",".773",".136","2.1","8.2","25.3","2.1","0.0","28.9","10.0","107","111","0.3","0.1","0.3",".047",2025,"Los Angeles Sparks",2025,"$85,000 ","Temporary Suspension",85000,"LAS","G","13","297","1.3","3.4",".386","0.9","2.6",".353","0.4","0.8",".500","0.5","0.5","1.000","0.4","3.1","3.8","0.9","0.0","1.5","4.0",2025,98987.8917025768,-13987.8917025768,TRUE,FALSE,FALSE,"Undervalued","Julie Allemand"
"julie vanloo","LAS","G","14","238",5.8,".456",".435",".823",".097","0.9","4.6","32.9","1.3","0.0","30.2","17.5","85","108","-0.4","0.2","-0.2","-0.035",2025,"Golden State Valkyries",2025,"$66,079 ","Temporary Suspension",66079,"LAS","G","14","238","1.4","4.4",".323","1.0","3.6",".275","0.4","0.8",".545","0.4","0.4",".833","0.1","1.4","3.4","0.4","0.0","2.0","4.2",2025,80968.8854269219,-14889.8854269219,TRUE,FALSE,FALSE,"Undervalued","Julie Vanloo"
"kadidja diaby","CON","C","13","103",5.9,".620",".500",".000","1.000","3.3","7.4","8.3","3.0","0.9","37.3","14.3","85","113","-0.1","0.0","-0.1","-0.054",2025,"Connecticut Suns",2025,"$66,079 ","Unprotected",66079,"CON","C","13","103","0.5","1.1",".500","0.0","0.0","","0.5","1.1",".500","0.8","1.1",".786","0.2","1.0","0.4","0.5","0.1","0.9","1.9",2025,81378.4082968231,-15299.4082968231,TRUE,FALSE,FALSE,"Undervalued","Kadidja Diaby"
"kahleah copper","PHO","G-F","6","145",18.8,".577",".514",".397",".425","2.3","8.3","14.4","2.8","0.7","16.4","32.1","100","101","0.1","0.3","0.4",".113",2025,"Phoenix Mercury",2025,"$248,134 ","Protected Veteran",248134,"PHO","G-F","6","145","5.2","12.2",".425","2.2","4.8",".448","3.0","7.3",".409","4.2","5.2",".806","0.5","3.5","1.8","1.3","0.2","2.8","16.7",2025,134206.858514084,113927.141485916,FALSE,TRUE,TRUE,"Top Paid","Kahleah Copper"
"kaila charles","DAL","G-F","17","269",12.6,".490",".425",".375",".338","10.2","14.4","10.6","1.7","1.4","14.8","17.2","103","110","0.3","0.1","0.4",".054",2025,"Dallas Wings",2025,"$43,225 ","Active Hardship Contract",43225,"DAL","G-F","17","269","1.7","4.7",".363","0.6","1.8",".333","1.1","2.9",".380","1.3","1.6",".815","1.5","4.0","1.1","0.5","0.2","0.9","5.3",2025,108816.440580207,-65591.4405802067,TRUE,FALSE,FALSE,"Undervalued","Kaila Charles"
"kaitlyn chen","GSV","G","9","133",9.8,".605",".580",".280",".280","2.5","4.3","15.7","1.6","0.0","22.2","12.2","106","106","0.1","0.1","0.3",".079",2025,"Golden State Valkyries",2025,"$49,420 ","Unprotected",49420,"GSV","G","9","133","1.4","2.8",".520","0.3","0.8",".429","1.1","2.0",".556","0.6","0.8",".714","0.3","1.1","1.3","0.4","0.0","0.9","3.8",2025,97349.8002229718,-47929.8002229718,TRUE,FALSE,FALSE,"Undervalued","Kaitlyn Chen"
"kalani brown","PHO","C","20","277",19.4,".691",".657",".100",".357","10.4","17.6","8.7","1.1","4.9","19.8","16.4","119","99","0.8","0.6","1.4",".196",2025,"Phoenix Mercury",2025,"$128,750 ","Protected Veteran",128750,"PHO","C","20","277","2.3","3.5",".643","0.1","0.4",".286","2.2","3.2",".683","1.0","1.3",".800","1.3","4.3","0.7","0.3","0.7","1.0","5.6",2025,136663.995733492,-7913.99573349158,TRUE,FALSE,FALSE,"Undervalued","Kalani Brown"
"kamilla cardoso","CHI","C","18","435",19,".563",".530",".006",".331","14.0","16.8","14.0","0.7","3.3","17.1","23.6","105","110","0.7","0.2","0.9",".082",2025,"Chicago Sky",2025,"$78,066 ","Temporary Suspension",78066,"CHI","C","18","435","4.9","9.4",".527","0.1","0.1","1.000","4.9","9.3",".524","2.2","3.1",".696","2.9","7.2","1.7","0.3","0.8","2.2","12.1",2025,135025.904253887,-56959.9042538866,TRUE,FALSE,FALSE,"Undervalued","Kamilla Cardoso"
"karlie samuelson","MIN","G","16","228",6.9,".550",".476",".810",".333","1.6","5.1","10.4","1.4","0.4","18.6","11.9","103","103","0.2","0.3","0.5",".086",2025,"Minnesota Lynx",2025,"$118,450 ","Protected Veteran",118450,"MIN","G","16","228","0.9","2.6",".333","0.8","2.1",".353","0.1","0.5",".250","0.8","0.9",".929","0.2","1.3","1.1","0.4","0.1","0.7","3.3",2025,85473.6369958356,32976.3630041644,FALSE,FALSE,FALSE,NA,NA
"kate martin","GSV","G","21","349",9.5,".490",".459",".624",".188","1.3","8.4","8.0","1.3","0.6","12.7","21.2","92","103","-0.2","0.5","0.3",".032",2025,"Golden State Valkyries",2025,"$68,595 ","Unprotected",68595,"GSV","G","21","349","2.2","6.3",".353","1.3","4.0",".337","0.9","2.4",".380","0.9","1.2",".760","0.2","2.5","0.7","0.4","0.1","1.0","6.7",2025,96121.231613268,-27526.231613268,TRUE,FALSE,FALSE,"Undervalued","Kate Martin"
"kathryn westbeld","PHO","F","22","503",12,".494",".469",".605",".122","4.0","8.0","8.2","2.5","3.5","8.8","15.2","102","100","0.3","0.9","1.3",".100",2025,"Phoenix Mercury",2025,"$66,079 ","Unprotected",66079,"PHO","F","22","503","2.5","6.7",".374","1.3","4.0",".315","1.2","2.6",".466","0.7","0.8",".833","0.8","3.2","1.2","1.1","0.8","0.7","7.0",2025,106359.303360799,-40280.3033607992,TRUE,FALSE,FALSE,"Undervalued","Kathryn Westbeld"
"kayla mcbride","MIN","G","20","632",16.1,".591",".535",".636",".263","0.6","4.4","16.0","2.0","0.3","12.0","20.0","112","102","1.5","1.0","2.5",".159",2025,"Minnesota Lynx",2025,"$205,000 ","Protected Veteran",205000,"MIN","G","20","632","4.5","10.9",".415","2.6","6.9",".377","1.9","4.0",".481","2.7","2.9",".947","0.2","2.4","3.2","1.2","0.1","1.7","14.3",2025,123149.74102675,81850.2589732496,FALSE,FALSE,FALSE,NA,NA
"kayla thornton","GSV","F","22","662",15.3,".493",".435",".514",".297","6.8","13.2","9.6","2.3","0.8","10.3","23.6","101","100","0.6","1.3","1.9",".113",2025,"Golden State Valkyries",2025,"$112,000 ","Protected Veteran",112000,"GSV","F","22","662","4.5","12.5",".362","1.8","6.5",".282","2.7","6.1",".448","3.1","3.7",".829","1.8","7.0","1.5","1.3","0.2","1.6","14.0",2025,119873.55806754,-7873.55806754042,TRUE,FALSE,FALSE,"Undervalued","Kayla Thornton"
"kelsey mitchell","IND","G","23","711",19.8,".570",".536",".390",".276","1.2","3.4","15.7","1.4","0.6","7.2","26.4","114","108","2.4","0.5","2.9",".163",2025,"Indiana Fever",2025,"$249,244 ","Protected Veteran",249244,"IND","G","23","711","7.0","15.0",".465","2.1","5.8",".366","4.8","9.1",".529","3.1","4.1",".747","0.3","1.8","2.7","0.8","0.2","1.3","19.1",2025,138302.087213097,110941.912786903,FALSE,TRUE,TRUE,"Top Paid","Kelsey Mitchell"
"kelsey plum","LAS","G","21","748",18.3,".567",".481",".470",".413","0.5","5.4","29.1","2.1","0.4","15.6","26.6","109","112","2.0","0.1","2.0",".108",2025,"Los Angeles Sparks",2025,"$202,000 ","Protected Veteran",202000,"LAS","G","21","748","6.0","15.0",".397","2.5","7.0",".358","3.4","8.0",".431","5.7","6.2",".915","0.1","3.1","5.8","1.5","0.1","3.3","20.1",2025,132159.244164578,69840.7558354221,FALSE,FALSE,FALSE,NA,NA
"kennedy burke","NYL","G-F","21","478",16.9,".660",".642",".577",".231","3.5","6.0","9.1","2.6","2.5","12.8","15.6","118","101","1.1","0.8","1.9",".162",2025,"New York Liberty",2025,"$78,831 ","Unprotected",78831,"NYL","G-F","21","478","3.1","6.2",".500","1.8","3.6",".493","1.3","2.6",".509","1.0","1.4",".733","0.7","2.4","1.3","1.2","0.6","1.0","9.0",2025,126425.92398596,-47594.9239859604,TRUE,FALSE,FALSE,"Undervalued","Kennedy Burke"
"kia nurse","CHI","G","22","474",6.8,".501",".471",".659",".159","1.9","5.6","8.0","0.9","0.4","14.5","16.0","95","115","0.0","-0.2","-0.2","-0.016",2025,"Chicago Sky",2025,"$145,000 ","Unprotected",145000,"CHI","G","22","474","2.2","6.3",".355","1.5","4.1",".352","0.8","2.1",".362","0.8","1.0",".818","0.4","2.1","1.0","0.4","0.1","1.1","6.7",2025,85064.1141259343,59935.8858740657,FALSE,FALSE,FALSE,NA,NA
"kiah stokes","LVA","C","22","401",7.4,".394",".370",".413",".174","6.9","16.7","5.8","1.5","1.7","18.2","6.8","93","103","-0.1","0.6","0.5",".050",2025,"Las Vegas Aces",2025,"$103,000 ","Unprotected",103000,"LVA","C","22","401","0.7","2.1",".348","0.1","0.9",".105","0.6","1.2",".519","0.2","0.4",".625","1.1","5.2","0.7","0.5","0.4","0.5","1.8",2025,87521.2513453418,15478.7486546582,FALSE,FALSE,FALSE,NA,NA
"kiana williams","PHO","G","5","69",16.8,".603",".604",".583",".083","0.0","5.8","17.9","0.7","0.0","3.9","16.8","123","107","0.2","0.1","0.3",".160",2025,NA,NA,NA,NA,NA,"PHO","G","5","69","2.4","4.8",".500","1.0","2.8",".357","1.4","2.0",".700","0.2","0.4",".500","0.0","1.4","1.4","0.2","0.0","0.2","6.0",2025,126016.401116059,NA,NA,NA,FALSE,NA,NA
"kierstan bell","LVA","F","15","140",11.6,".468",".435",".685",".111","5.0","9.6","3.8","1.5","3.0","8.1","19.9","94","106","0.0","0.1","0.1",".030",2025,"Las Vegas Aces",2025,"$84,543 ","Protected Rookie Scale",84543,"LVA","F","15","140","1.2","3.6",".333","0.7","2.5",".297","0.5","1.1",".412","0.4","0.4","1.000","0.4","1.5","0.2","0.3","0.3","0.3","3.5",2025,104721.211881194,-20178.2118811942,TRUE,FALSE,FALSE,"Undervalued","Kierstan Bell"
"kiki iriafen","WAS","F","22","588",15.9,".521",".460",".009",".386","12.3","18.6","9.8","1.3","0.5","14.3","22.4","103","101","0.7","1.0","1.7",".113",2025,"Washington Mystics",2025,"$78,831 ","Unprotected",78831,"WAS","F","22","588","4.5","9.8",".460","0.0","0.1",".000","4.5","9.7",".465","2.9","3.8",".771","2.8","8.5","1.4","0.7","0.1","1.9","11.9",2025,122330.695286948,-43499.6952869479,TRUE,FALSE,FALSE,"Undervalued","Kiki Iriafen"
"kitija laksa","PHO","F","21","491",8.4,".511",".497",".669",".126","2.0","3.5","6.2","0.9","0.8","7.5","15.7","101","108","0.3","0.4","0.7",".053",2025,"Phoenix Mercury",2025,"$80,000 ","Protected Veteran",80000,"PHO","F","21","491","2.8","7.2",".384","1.6","4.8",".337","1.1","2.4",".480","0.6","0.9",".684","0.4","1.4","0.9","0.4","0.2","0.6","7.8",2025,91616.4800443543,-11616.4800443543,TRUE,FALSE,FALSE,"Undervalued","Kitija Laksa"
"kyara linskens","GSV","C","4","27",5,".400",".400",".200",".000","4.2","12.6","6.2","1.9","11.6","28.6","11.6","69","93","-0.1","0.1","0.0",".021",2025,"Golden State Valkyries",2025,"$14,437 ","Waived",14437,"GSV","C","4","27","0.5","1.3",".400","0.0","0.3",".000","0.5","1.0",".500","0.0","0.0","","0.3","1.5","0.3","0.3","0.8","0.5","1.0",2025,77692.7024677119,-63255.7024677119,TRUE,FALSE,FALSE,"Undervalued","Kyara Linskens"
"laeticia amihere","GSV","F","12","176",20.2,".605",".560",".100",".580","10.2","20.0","19.9","1.5","4.7","22.3","20.6","107","96","0.3","0.4","0.8",".176",2025,"Golden State Valkyries",2025,"$53,307 ","Unprotected",53307,"GSV","F","12","176","2.3","4.2",".560","0.0","0.4",".000","2.3","3.8",".622","1.7","2.4",".690","1.3","5.2","1.5","0.4","0.7","1.5","6.3",2025,139940.178692702,-86633.1786927016,TRUE,FALSE,FALSE,"Undervalued","Laeticia Amihere"
"leonie fiebich","NYL","F","14","372",13,".732",".716",".595",".203","3.2","8.5","6.3","1.5","2.0","18.3","12.0","118","102","0.7","0.6","1.3",".136",2025,"New York Liberty",2025,"$68,595 ","Temporary Suspension",68595,"NYL","F","14","372","3.0","5.3",".568","1.6","3.1",".500","1.4","2.1",".667","0.9","1.1",".800","0.7","4.0","1.1","0.8","0.6","1.3","8.4",2025,110454.532059812,-41859.5320598117,TRUE,FALSE,FALSE,"Undervalued","Leonie Fiebich"
"lexi held","PHO","G","14","290",14,".513",".482",".582",".182","3.1","4.7","11.6","3.7","1.7","13.2","21.2","97","101","0.1","0.5","0.6",".082",2025,"Phoenix Mercury",2025,"$66,079 ","Unprotected",66079,"PHO","G","14","290","3.1","7.9",".391","1.4","4.6",".313","1.6","3.3",".500","1.1","1.4",".800","0.6","1.7","1.4","1.5","0.4","1.3","8.7",2025,114549.760758824,-48470.7607588242,TRUE,FALSE,FALSE,"Undervalued","Lexi Held"
"lexie brown","SEA","G","14","105",4.2,".389",".300",".900",".500","1.1","5.2","7.9","2.0","0.0","7.6","11.5","88","105","-0.1","0.1","0.1",".021",2025,"Seattle Storm",2025,"$96,408 ","Protected Veteran",96408,"SEA","G","14","105","0.3","1.4",".200","0.3","1.3",".222","0.0","0.1",".000","0.5","0.7",".700","0.1","0.6","0.4","0.3","0.0","0.1","1.4",2025,74416.5195085019,21991.4804914981,FALSE,FALSE,FALSE,NA,NA
"lexie hull","IND","G","23","629",12.3,".564",".555",".428",".159","6.4","10.3","9.3","2.0","0.6","11.9","12.6","114","104","1.1","0.9","1.9",".122",2025,"Indiana Fever",2025,"$88,261 ","Protected Rookie Scale",88261,"IND","G","23","629","2.9","6.3",".455","1.3","2.7",".468","1.6","3.6",".446","0.6","1.0",".609","1.4","4.7","1.7","1.1","0.2","0.9","7.6",2025,107587.871970503,-19326.871970503,TRUE,FALSE,FALSE,"Undervalued","Lexie Hull"
"leila lacan","CON","G","5","130",10.5,".545",".500",".390",".220","3.5","6.3","15.2","1.6","0.7","19.7","19.7","95","117","0.0","-0.1","-0.1","-0.035",2025,"Connecticut Suns",2025,"$72,455 ","Temporary Suspension",72455,"CON","G","5","130","3.8","8.2",".463","0.6","3.2",".188","3.2","5.0",".640","1.6","1.8",".889","0.8","2.8","2.0","0.8","0.2","2.2","9.8",2025,100216.460312281,-27761.4603122805,TRUE,FALSE,FALSE,"Undervalued","Leila Lacan"
"li yueru","DAL","C","20","346",14.4,".566",".484",".275",".440","11.8","15.5","9.1","0.9","1.4","16.8","16.5","111","110","0.7","0.1","0.8",".096",2025,"Dallas Wings",2025,"$66,079 ","Unprotected",66079,"DAL","C","20","346","2.0","4.6",".429","0.5","1.3",".400","1.5","3.3",".439","1.8","2.0",".875","1.9","4.7","1.0","0.3","0.3","1.1","6.2",2025,116187.852238429,-50108.8522384292,TRUE,FALSE,FALSE,"Undervalued","Li Yueru"
"liatu king","DAL","F","14","136",8.6,".565",".500",".222",".556","10.7","12.9","4.7","0.7","0.0","24.7","14.7","99","114","0.0","0.0","0.0",".005",2025,"Los Angeles Sparks",2025,"$47,894 ","Active Hardship Contract",47894,"DAL","F","14","136","0.9","1.9",".481","0.1","0.4",".167","0.9","1.5",".571","0.8","1.1",".733","0.9","2.1","0.3","0.1","0.0","0.8","2.7",2025,92435.5257841568,-44541.5257841568,TRUE,FALSE,FALSE,"Undervalued","Liatu King"
"lindsay allen","CON","G","16","221",5.1,".439",".392",".297",".243","0.0","2.9","25.4","1.2","1.3","29.3","12.0","82","119","-0.3","-0.2","-0.5","-0.094",2025,"Connecticut Suns",2025,"$90,000 ","Unprotected",90000,"CON","G","16","221","0.9","2.3",".378","0.1","0.7",".091","0.8","1.6",".500","0.4","0.6",".778","0.0","0.7","2.1","0.3","0.2","1.1","2.3",2025,78102.2253376131,11897.7746623869,FALSE,FALSE,FALSE,NA,NA
"lucy olsen","WAS","G","19","199",12,".566",".526",".439",".193","2.4","6.2","16.1","0.5","0.5","10.2","15.5","114","107","0.4","0.2","0.6",".112",2025,"Washington Mystics",2025,"$69,267 ","Unprotected",69267,"WAS","G","19","199","1.3","3.0",".439","0.5","1.3",".400","0.8","1.7",".469","0.5","0.6",".909","0.2","1.1","0.9","0.1","0.1","0.4","3.7",2025,106359.303360799,-37092.3033607992,TRUE,FALSE,FALSE,"Undervalued","Lucy Olsen"
"luisa geiselsoder","DAL","C","12","273",13.8,".531",".527",".411",".041","5.6","12.3","10.2","1.9","4.1","11.9","13.3","108","108","0.3","0.2","0.5",".075",2025,"Dallas Wings",2025,"$66,079 ","Temporary Suspension",66079,"DAL","C","12","273","2.8","6.1",".466","0.8","2.5",".300","2.1","3.6",".581","0.2","0.3",".667","1.2","4.9","1.4","0.8","1.0","0.8","6.6",2025,113730.715019022,-47651.7150190217,TRUE,FALSE,FALSE,"Undervalued","Luisa Geiselsoder"
"mackenzie holmes","SEA","F","4","19",15.1,".667",".667",".000",".000","12.5","12.7","8.0","0.0","4.8","0.0","7.2","155","105","0.1","0.0","0.1",".193",2025,"Seattle Storm",2025,"$48,865 ","Unprotected",48865,"SEA","F","4","19","0.5","0.8",".667","0.0","0.0","","0.5","0.8",".667","0.0","0.0","","0.5","1.0","0.3","0.0","0.3","0.0","1.0",2025,119054.512327738,-70189.5123277379,TRUE,FALSE,FALSE,"Undervalued","Mackenzie Holmes"
"maddy siegrist","DAL","F","11","264",14.1,".483",".469",".309",".227","11.7","12.3","3.3","0.8","1.8","3.6","18.0","109","114","0.5","0.0","0.4",".063",2025,"Dallas Wings",2025,"$83,371 ","Unprotected",83371,"DAL","F","11","264","3.8","8.8",".433","0.6","2.7",".233","3.2","6.1",".522","1.1","2.0",".545","2.5","5.2","0.5","0.4","0.5","0.4","9.4",2025,114959.283628725,-31588.2836287254,TRUE,FALSE,FALSE,"Undervalued","Maddy Siegrist"
"maddy westbeld","CHI","F","10","85",6.9,".342",".313",".375",".083","12.2","14.7","7.3","1.8","4.5","16.7","15.4","81","108","-0.2","0.1","-0.1","-0.042",2025,"Chicago Sky",2025,"$69,267 ","Unprotected",69267,"CHI","F","10","85","0.6","2.4",".250","0.3","0.9",".333","0.3","1.5",".200","0.2","0.2","1.000","0.9","2.2","0.4","0.3","0.4","0.5","1.7",2025,85473.6369958356,-16206.6369958356,TRUE,FALSE,FALSE,"Undervalued","Maddy Westbeld"
"makayla timpson","IND","F-C","15","107",16.1,".511",".485",".000",".424","12.6","18.4","0.0","2.9","4.3","11.3","18.6","102","96","0.1","0.3","0.4",".132",2025,"Indiana Fever",2025,"$69,267 ","Unprotected",69267,"IND","F-C","15","107","1.1","2.2",".485","0.0","0.0","","1.1","2.2",".485","0.5","0.9",".571","0.7","2.2","0.0","0.4","0.3","0.3","2.7",2025,123149.74102675,-53882.7410267504,TRUE,FALSE,FALSE,"Undervalued","Makayla Timpson"
"maria kliundikova","MIN","F","14","133",23.6,".563",".545",".227",".205","13.4","16.6","9.8","3.9","8.9","12.7","18.9","112","88","0.3","0.5","0.8",".238",2025,"Minnesota Lynx",2025,"$54,418 ","Unprotected",54418,"MIN","F","14","133","1.6","3.1",".500","0.3","0.7",".400","1.3","2.4",".529","0.4","0.6",".667","1.1","2.7","0.6","0.7","0.9","0.5","3.9",2025,153863.956269344,-99445.956269344,TRUE,FALSE,FALSE,"Undervalued","Maria Kliundikova"
"marina mabrey","CON","G","13","410",12.6,".484",".444",".540",".185","1.9","9.3","26.2","1.0","1.6","15.0","26.9","92","116","-0.3","-0.2","-0.5","-0.048",2025,"Connecticut Suns",2025,"$210,000 ","Protected Veteran",210000,"CON","G","13","410","5.3","14.5",".365","2.3","7.8",".294","3.0","6.7",".448","2.3","2.7",".857","0.5","5.0","4.0","0.6","0.5","2.8","15.2",2025,108816.440580207,101183.559419793,FALSE,TRUE,FALSE,"Overvalued","Marina Mabrey"
"marine johannes","NYL","G","21","384",12.9,".604",".594",".795",".060","2.8","6.9","12.6","2.1","1.0","19.5","17.6","100","103","0.2","0.6","0.8",".083",2025,"New York Liberty",2025,"$66,079 ","Unprotected",66079,"NYL","G","21","384","2.5","5.6",".444","1.7","4.4",".376","0.8","1.1",".708","0.3","0.3",".857","0.4","2.2","1.4","0.8","0.2","1.4","6.9",2025,110045.00918991,-43966.0091899105,TRUE,FALSE,FALSE,"Undervalued","Marine Johannes"
"marieme badiane","MIN","C","3","11",0,".000",".000",".333",".000","10.8","5.3","0.0","9.5","0.0","40.0","20.8","15","87","-0.1","0.0","-0.1","-0.365",2025,"Minnesota Lynx",2025,"$12,216 ","Waived",12216,"MIN","C","3","11","0.0","1.0",".000","0.0","0.3",".000","0.0","0.7",".000","0.0","0.0","","0.3","0.3","0.0","0.7","0.0","0.7","0.0",2025,-18954.6948289827,31170.6948289827,FALSE,FALSE,FALSE,NA,NA
"marquesha davis","NYL","G","9","31",6.4,".565",".250",".750","1.750","3.9","9.1","4.5","0.0","3.0","29.8","14.7","92","105","0.0","0.0","0.0",".029",2025,"New York Liberty",2025,"$71,753 ","Unprotected",71753,"NYL","G","9","31","0.1","0.4",".250","0.0","0.3",".000","0.1","0.1","1.000","0.7","0.8",".857","0.1","0.6","0.1","0.0","0.1","0.3","0.9",2025,83426.0226463294,-11673.0226463294,TRUE,FALSE,FALSE,"Undervalued","Marquesha Davis"
"maya caldwell","ATL","G","20","275",8.3,".431",".427",".512",".073","6.3","9.1","14.1","2.3","1.2","18.3","17.0","87","101","-0.3","0.5","0.2",".026",2025,"Atlanta Dream",2025,"$66,079 ","Unprotected",66079,"ATL","G","20","275","1.5","4.1",".366","0.5","2.1",".238","1.0","2.0",".500","0.2","0.3",".500","0.8","2.2","1.2","0.6","0.2","1.0","3.7",2025,91206.9571744531,-25127.9571744531,TRUE,FALSE,FALSE,"Undervalued","Maya Caldwell"
"megan gustafson","LVA","C","3","57",3.1,".351",".281",".625",".563","4.1","10.3","5.7","0.9","1.5","9.1","17.4","78","107","-0.1","0.0","-0.1","-0.063",2025,"Las Vegas Aces",2025,"$96,820 ","Unprotected",96820,"LVA","C","3","57","1.3","5.3",".250","0.3","3.3",".100","1.0","2.0",".500","1.7","3.0",".556","0.7","3.3","0.7","0.3","0.3","0.7","4.7",2025,69911.7679395882,26908.2320604118,FALSE,FALSE,FALSE,NA,NA
