X,player,weighted_mp,weighted_ws,weighted_per,team.x,contract_y,per_minute_score,rank_within_team,protected,team.y,pos,actual,xgb_pred,residual
79,rickea jackson,725.3333333,0.166666667,11.73333333,LAS,2,0.064298463,5,1,LAS,F,"$78,066 ","$73,247 ","($4,818.63)"
5,allisha gray,975.5,3.92,18.5,ATL,0,0.206551236,5,1,ATL,G,"$190,000 ","$184,902 ","($5,097.72)"
38,paige bueckers,590,2,20.6,DAL,3,0.614433331,1,1,DAL,G,"$78,831 ","$73,727 ","($5,104.16)"
62,aliyah boston,889.9,4.65,23.5,IND,1,0.917151914,1,1,IND,F-C,"$83,371 ","$78,008 ","($5,363.02)"
135,dominique malonga,193,0.1,13.9,SEA,3,0.356432248,2,1,SEA,C,"$78,831 ","$73,161 ","($5,669.61)"
98,alanna smith,1744.666667,6.666666667,17.53333333,MIN,0,0.426413177,2,1,MIN,F,"$150,000 ","$144,183 ","($5,817.44)"
4,jordin canada,1699.666667,4.666666667,16.35,ATL,0,0.258062994,4,1,ATL,G,"$190,000 ","$184,139 ","($5,861.48)"
89,jackie young,867.2,3.42,19.93,LVA,0,0.180127154,3,1,LVA,G,"$169,950 ","$163,799 ","($6,150.53)"
42,dijonai carrington,1379.75,2.525,13.1125,DAL,0,0.141611152,5,1,DAL,G-F,"$200,000 ","$192,663 ","($7,337.28)"
124,kalani brown,776,2.35,17.7625,PHO,1,0.575846522,2,1,PHO,C,"$128,750 ","$118,351 ","($10,398.65)"
123,alyssa thomas,1829.5,8.75,22.975,PHO,0,0.801937606,1,1,PHO,F,"$215,000 ","$204,424 ","($10,575.73)"
126,satou sabally,1207.5,4.625,20.85,PHO,0,0.259798857,4,1,PHO,F,"$215,000 ","$203,521 ","($11,479.00)"
91,nalyssa smith,1413.75,2.4,14.4,LVA,0,-0.047439492,5,1,LVA,F,"$91,981 ","$77,755 ","($14,226.19)"
3,brittney griner,1306.75,4.475,19.4875,ATL,0,0.29251002,3,1,ATL,C,"$214,466 ","$199,013 ","($15,452.64)"
39,tyasha harris,1092.75,3.125,13.375,DAL,0,0.307284913,2,1,DAL,G,"$100,013 ","$84,378 ","($15,634.73)"
65,kelsey mitchell,929.3,2.97,18.94,IND,0,0.260701012,4,1,IND,G,"$249,244 ","$231,525 ","($17,719.22)"
137,skylar diggins,898.6666667,3.166666667,19.33333333,SEA,0,0.148930523,4,1,SEA,G,"$214,466 ","$193,553 ","($20,912.98)"
88,jewell loyd,1900.5,4.575,15.3125,LVA,0,0.291607736,2,1,LVA,G,"$249,032 ","$221,901 ","($27,130.53)"
101,karlie samuelson,1827,5.3,10.6,MIN,0,0.131208458,5,1,MIN,G,"$118,450 ","$90,596 ","($27,854.18)"
127,kahleah copper,1679.666667,2.733333333,17.16666667,PHO,0,-0.057092624,5,1,PHO,G-F,"$248,134 ","$202,575 ","($45,558.97)"
