"","...1","player","weighted_mp","weighted_ws","weighted_per","team.x","contract_y","age","per_minute_score","rank_within_team","protected","pos","actual","xgb_pred","residual","ufa","suspended"
"111",111,"sabrina ionescu",836.7,3.47,20.52,"NYL",0,27,0.4472998649473,2,1,"G","$208,060","$225,276","$17,215.69","1",0
"112",112,"jonquel jones",572.9,3.14,22.71,"NYL",0,31,0.359209608449854,3,1,"C","$195,000","$211,300","$16,299.89","1",0
"113",113,"betnijah hamilton",936.25,2.8,13.8,"NYL",0,21,0.24870291515398,4,1,NA,NA,NA,NA,"0",1
"114",114,"leonie fiebich",509.666666666667,1.9,13.3,"NYL",2,25,0.196261370328177,5,1,"F","$68,595","$74,884","$6,289.23","0",0
"115",115,"nyara sabally",293.6,1.25,15.64,"NYL",1,25,0.147056434854066,6,0,"C","$79,999","$82,960","$2,961.34","0",0
"116",116,"natasha cloud",3006,6.3,14.6666666666667,"NYL",0,33,0.0774076127252486,7,0,"G","$200,000","$200,993","$993.00","1",0
"117",117,"kennedy burke",458.333333333333,1.5,14.6,"NYL",0,28,-0.166849786651191,8,0,"G-F","$78,831","$81,816","$2,984.90","1",0
"118",118,"jaylyn sherrod",76.3333333333333,0.133333333333333,11.6666666666667,"NYL",0,23,-0.246781436656072,9,0,"G","$66,079","$71,262","$5,183.38","0",0
"119",119,"marquesha davis",47.3333333333333,0.0666666666666667,7.03333333333333,"NYL",2,24,-0.329990674837126,10,0,"G","$71,753","$79,068","$7,315.49","0",0
"120",120,"isabelle harrison",752,0.8,13.75,"NYL",0,31,-0.433638138907576,11,0,"F","$78,831","$82,468","$3,637.41","1",0
"121",121,"rebekah gardner",329,1.1,14.6,"NYL",0,35,-0.542355179774116,12,0,"G","$66,079","$73,720","$7,641.24","0",0
"122",122,"marine johannes",408.285714285714,0.657142857142857,11.3857142857143,"NYL",0,30,-0.547479242033764,13,0,NA,NA,NA,NA,"0",0
"123",123,"alyssa thomas",1829.5,8.75,22.975,"PHO",0,33,0.791795065307977,1,1,"F","$215,000","$204,424","-$10,575.73","1",0
"124",124,"satou sabally",1207.5,4.625,20.85,"PHO",0,27,0.590847631275727,2,1,"F","$215,000","$203,521","-$11,479.00","1",0
"125",125,"kalani brown",776,2.35,17.7625,"PHO",1,28,0.461841156191888,3,1,"C","$128,750","$118,351","-$10,398.65","0",0
"126",126,"monique makani",441,1.6,14.9,"PHO",0,24,0.0448149009040802,4,1,NA,NA,NA,NA,"0",0
"127",127,"natasha mack",329.666666666667,1.26666666666667,16.9333333333333,"PHO",0,27,0.0295154036333683,5,1,"F","$66,079","$60,834","-$5,244.97","0",0
"128",128,"kahleah copper",1679.66666666667,2.73333333333333,17.1666666666667,"PHO",0,30,0.0202450664671306,6,0,"G-F","$248,134","$202,575","-$45,558.97","1",0
"129",129,"dewanna bonner",1501,6.025,16.9875,"PHO",0,37,-0.0664089840726338,7,0,"G-F","$72,269","$72,889","$619.52","1",0
"130",130,"lexi held",290,0.6,14,"PHO",0,25,-0.149773955346057,8,0,"G","$66,079","$59,407","-$6,672.15","0",0
"131",131,"kathryn westbeld",482,1.4,12.8,"PHO",0,29,-0.367639204724839,9,0,"F","$66,079","$64,338","-$1,740.96","0",0
"132",132,"sami whitcomb",1232.75,2.5,12.5875,"PHO",0,36,-0.629872874855497,10,0,"G","$125,000","$99,933","-$25,067.41","1",0
"133",133,"kitija laksa",461,0.7,8.8,"PHO",0,29,-0.725364204781146,11,0,"F","$80,000","$73,897","-$6,102.80","0",0
"134",134,"nneka ogwumike",1970,9.53333333333333,23.5166666666667,"SEA",0,35,0.769457519666527,1,1,"F","$195,000","$192,938","-$2,062.05","1",0
"135",135,"dominique malonga",193,0.1,13.9,"SEA",3,19,0.551888304075278,2,1,"C","$78,831","$73,161","-$5,669.61","0",0
"136",136,"ezi magbegor",836.3,3.44,17.82,"SEA",0,25,0.438470035824438,3,1,"F-C","$186,000","$186,462","$461.59","1",0
"137",137,"jordan horston",854.75,1.4,12.4,"SEA",1,24,0.199403530810749,4,1,NA,NA,NA,NA,"0",1
"138",138,"skylar diggins",898.666666666667,3.16666666666667,19.3333333333333,"SEA",0,34,0.162959348173705,5,1,"G","$214,466","$193,553","-$20,912.98","1",0
"139",139,"gabby williams",580.8,1.79,16.63,"SEA",0,28,0.161150747680997,6,0,"F","$225,000","$202,694","-$22,306.34","1",0
